Control_Word,Category,Action,Function
\',Special Characters,Symbol,cw_not_coded
\-,Special Characters,Symbol,cw_not_coded
\*,Special Characters,Symbol,cw_not_coded
\:,Special Characters,Symbol,cw_not_coded
\\,Special Characters,Symbol,cw_not_coded
\_,Special Characters,Symbol,cw_not_coded
\{,Special Characters,Symbol,cw_not_coded
\|,Special Characters,Symbol,cw_not_coded
\},Special Characters,Symbol,cw_not_coded
\~,Special Characters,Symbol,cw_not_coded
\ab,Associated Character Properties,Toggle,cw_not_coded
\absh,Positioned Objects and Frames,Value,cw_not_coded
\abslock,Positioned Objects and Frames,Flag,cw_not_coded
\absnoovrlpN,Positioned Objects and Frames,Toggle,cw_not_coded
\absw,Positioned Objects and Frames,Value,cw_not_coded
\acaps,Associated Character Properties,Toggle,cw_not_coded
\acccomma,Font (Character) Formatting Properties,Toggle,cw_not_coded
\accdot,Font (Character) Formatting Properties,Toggle,cw_not_coded
\accnone,Font (Character) Formatting Properties,Toggle,cw_not_coded
\acccircle,Font (Character) Formatting Properties,Toggle,cw_not_coded
\accunderdot,Font (Character) Formatting Properties,Toggle,cw_not_coded
\acf,Associated Character Properties,Value,cw_not_coded
\additive,Style Sheet,Flag,cw_not_coded
\adjustright,Section Formatting Properties,Flag,cw_not_coded
\adn,Associated Character Properties,Value,cw_not_coded
\aenddoc,Document Formatting Properties,Flag,cw_not_coded
\aendnotes,Document Formatting Properties,Flag,cw_not_coded
\aexpnd,Associated Character Properties,Value,cw_not_coded
\af,Associated Character Properties,Value,cw_not_coded
\affixed,Paragraph Formatting Properties,Flag,cw_not_coded
\afs,Associated Character Properties,Value,cw_not_coded
\aftnbj,Document Formatting Properties,Flag,cw_not_coded
\aftncn,Document Formatting Properties,Destination,cw_not_coded
\aftnnalc,Document Formatting Properties,Flag,cw_not_coded
\aftnnar,Document Formatting Properties,Flag,cw_not_coded
\aftnnauc,Document Formatting Properties,Flag,cw_not_coded
\aftnnchi,Document Formatting Properties,Flag,cw_not_coded
\aftnnchosung,Document Formatting Properties,Flag,cw_not_coded
\aftnncnum,Document Formatting Properties,Flag,cw_not_coded
\aftnndbar,Document Formatting Properties,Flag,cw_not_coded
\aftnndbnum,Document Formatting Properties,Flag,cw_not_coded
\aftnndbnumd,Document Formatting Properties,Flag,cw_not_coded
\aftnndbnumk,Document Formatting Properties,Flag,cw_not_coded
\aftnndbnumt,Document Formatting Properties,Flag,cw_not_coded
\aftnnganada,Document Formatting Properties,Flag,cw_not_coded
\aftnngbnum,Document Formatting Properties,Flag,cw_not_coded
\aftnngbnumd,Document Formatting Properties,Flag,cw_not_coded
\aftnngbnumk,Document Formatting Properties,Flag,cw_not_coded
\aftnngbnuml,Document Formatting Properties,Flag,cw_not_coded
\aftnnrlc,Document Formatting Properties,Flag,cw_not_coded
\aftnnruc,Document Formatting Properties,Flag,cw_not_coded
\aftnnzodiac,Document Formatting Properties,Flag,cw_not_coded
\aftnnzodiacd,Document Formatting Properties,Flag,cw_not_coded
\aftnnzodiacl,Document Formatting Properties,Flag,cw_not_coded
\aftnrestart,Document Formatting Properties,Flag,cw_not_coded
\aftnrstcont,Document Formatting Properties,Flag,cw_not_coded
\aftnsep,Document Formatting Properties,Destination,cw_not_coded
\aftnsepc,Document Formatting Properties,Destination,cw_not_coded
\aftnstart,Document Formatting Properties,Value,cw_not_coded
\aftntj,Document Formatting Properties,Flag,cw_not_coded
\ai,Associated Character Properties,Toggle,cw_not_coded
\alang,Associated Character Properties,Value,cw_not_coded
\allowfieldendsel,Document Formatting Properties,Flag,cw_not_coded
\allprot,Document Formatting Properties,Flag,cw_not_coded
\alntblind,Document Formatting Properties,Flag,cw_not_coded
\alt,Style Sheet,Flag,cw_not_coded
\animtextN,Font (Character) Formatting Properties,Value,cw_not_coded
\annotation,Comments (Annotations),Destination,cw_not_coded
\annotprot,Document Formatting Properties,Flag,cw_not_coded
\ansi,Character Set,Flag,cw_not_coded
\ansicpgN,Unicode RTF,Value,cw_not_coded
\aoutl,Associated Character Properties,Toggle,cw_not_coded
\ApplyBrkRules,Document Formatting Properties,Flag,cw_not_coded
\ascaps,Associated Character Properties,Toggle,cw_not_coded
\ashad,Associated Character Properties,Toggle,cw_not_coded
\asianbrkrule,Document Formatting Properties,Flag,cw_not_coded
\aspalpha,Paragraph Formatting Properties,Toggle,cw_not_coded
\aspnum,Paragraph Formatting Properties,Toggle,cw_not_coded
\astrike,Associated Character Properties,Toggle,cw_not_coded
\atnauthor,Comments (Annotations),Destination,cw_not_coded
\atndate,Comments (Annotations),Destination,cw_not_coded
\atnicn,Comments (Annotations),Destination,cw_not_coded
\atnid,Comments (Annotations),Destination,cw_not_coded
\atnparent,Comments (Annotations),Destination,cw_not_coded
\atnref,Comments (Annotations),Destination,cw_not_coded
\atntime,Comments (Annotations),Destination,cw_not_coded
\atrfend,Comments (Annotations),Destination,cw_not_coded
\atrfstart,Comments (Annotations),Destination,cw_not_coded
\aul,Associated Character Properties,Toggle,cw_not_coded
\auld,Associated Character Properties,Toggle,cw_not_coded
\auldb,Associated Character Properties,Toggle,cw_not_coded
\aulnone,Associated Character Properties,Toggle,cw_not_coded
