TEI,TPRES,Category,
expan,abbrExpansion,Element,
am,abbrMark,Element,
abbr,abbrText,Element,
abstract,abstractText,Element,
accMat,accMat,Element,
acquisition,acquisitionMs,Element,
activity,activityDesc,Element,
actor,actorIdent,Element,
additions,additionsMs,Element,
addName,addName,Element,
addRend,addRend,Element,
addrLine,addrLine,Element,
addSpan,addSpan,Element,
add,addText,Element,
affiliation,affiliationIdent,Element,
alt,alterNation,Element,
altGrp,altGrp,Element,
altIdent,altIdent,Element,
anchor,anchorPoint,Element,
note,annoNote,Element,
ab,anonBlock,Element,
app,appEntry,Element,
appInfo,appInfo,Element,
application,applicationSpec,Element,
asCited,asCited,Element,
att.breaking,att.breaking,Class,
att.breaking.attributes,att.breaking.attributes,Class,
att.canonical,att.canonical,Class,
att.canonical.attributes,att.canonical.attributes,Class,
att.citing,att.citing,Class,
att.citing.attributes,att.citing.attributes,Class,
att.cReferencing,att.cReferencing,Class,
att.cReferencing.attributes,att.cReferencing.attributes,Class,
att.damaged,att.damaged,Class,
att.damaged.attributes,att.damaged.attributes,Class,
att.datable,att.datable,Class,
att.datable.attributes,att.datable.attributes,Class,
att.datcat,att.datcat,Class,
att.datcat.attributes,att.datcat.attributes,Class,
att.declarable,att.declarable,Class,
att.declarable.attributes,att.declarable.attributes,Class,
att.declaring,att.declaring,Class,
att.declaring.attributes,att.declaring.attributes,Class,
att.deprecated,att.deprecated,Class,
att.deprecated.attributes,att.deprecated.attributes,Class,
att.dimensions,att.dimensions,Class,
att.dimensions.attributes,att.dimensions.attributes,Class,
att.divLike,att.divLike,Class,
att.divLike.attributes,att.divLike.attributes,Class,
att.docStatus,att.docStatus,Class,
att.docStatus.attributes,att.docStatus.attributes,Class,
att.duration,att.duration,Class,
att.duration.attributes,att.duration.attributes,Class,
att.edition,att.edition,Class,
att.edition.attributes,att.edition.attributes,Class,
att.editLike,att.editLike,Class,
att.editLike.attributes,att.editLike.attributes,Class,
att.enjamb,att.enjamb,Class,
att.enjamb.attributes,att.enjamb.attributes,Class,
att.fragmentable,att.fragmentable,Class,
att.fragmentable.attributes,att.fragmentable.attributes,Class,
att.handfeatures,att.handfeatures,Class,
att.handfeatures.attributes,att.handfeatures.attributes,Class,
att.identified,att.identified,Class,
att.identified.attributes,att.identified.attributes,Class,
att.internetMedia,att.internetMedia,Class,
att.internetMedia.attributes,att.internetMedia.attributes,Class,
att.interpLike,att.interpLike,Class,
att.interpLike.attributes,att.interpLike.attributes,Class,
att.legalciting,att.legalciting,Class,
att.legalciting.attributes,att.legalciting.attributes,Class,
att.matter.,att.matter.,Class,
att.matter.attributes.,att.matter.attributes.,Class,
att.measurement,att.measurement,Class,
att.measurement.attributes,att.measurement.attributes,Class,
att.media,att.media,Class,
att.media.attributes,att.media.attributes,Class,
att.metrical,att.metrical,Class,
att.metrical.attributes,att.metrical.attributes,Class,
att.milestoneUnit,att.milestoneUnit,Class,
att.milestoneUnit.attributes,att.milestoneUnit.attributes,Class,
att.msExcerpt,att.msExcerpt,Class,
att.msExcerpt.attributes,att.msExcerpt.attributes,Class,
att.namespaceable,att.namespaceable,Class,
att.namespaceable.attributes,att.namespaceable.attributes,Class,
att.naming,att.naming,Class,
att.naming.attributes,att.naming.attributes,Class,
att.notated,att.notated,Class,
att.notated.attributes,att.notated.attributes,Class,
att.partials,att.partials,Class,
att.partials.attributes,att.partials.attributes,Class,
att.personal,att.personal,Class,
att.personal.attributes,att.personal.attributes,Class,
att.placement,att.placement,Class,
att.placement.attributes,att.placement.attributes,Class,
att.pointing,att.pointing,Class,
att.pointing.attributes,att.pointing.attributes,Class,
att.pointing.group,att.pointing.group,Class,
att.pointing.group.attributes,att.pointing.group.attributes,Class,
att.ranging,att.ranging,Class,
att.ranging.attributes,att.ranging.attributes,Class,
att.rdgPart,att.rdgPart,Class,
att.rdgPart.attributes,att.rdgPart.attributes,Class,
att.resourced,att.resourced,Class,
att.resourced.attributes,att.resourced.attributes,Class,
att.scoping,att.scoping,Class,
att.scoping.attributes,att.scoping.attributes,Class,
att.segLike,att.segLike,Class,
att.segLike.attributes,att.segLike.attributes,Class,
att.sortable,att.sortable,Class,
att.sortable.attributes,att.sortable.attributes,Class,
att.spanning,att.spanning,Class,
att.spanning.attributes,att.spanning.attributes,Class,
att.styleDef,att.styleDef,Class,
att.styleDef.attributes,att.styleDef.attributes,Class,
att.textCritical,att.textCritical,Class,
att.textCritical.attributes,att.textCritical.attributes,Class,
att.transcriptional,att.transcriptional,Class,
att.transcriptional.attributes,att.transcriptional.attributes,Class,
att.translatable,att.translatable,Class,
att.translatable.attributes,att.translatable.attributes,Class,
att.typed,att.typed,Class,
att.typed.attributes,att.typed.attributes,Class,
att.uni,att.uni,Class,
att.uni.analytic,att.uni.analytic,Class,
att.uni.analytic.attributes,att.uni.analytic.attributes,Class,
att.uni.attribute.n,att.uni.attribute.n,Class,
att.uni.attribute.n,att.uni.attribute.n,Class,
att.uni.attribute.xmlbase,att.uni.attribute.xmlbase,Class,
att.uni.attribute.xmlbase,att.uni.attribute.xmlbase,Class,
att.uni.attribute.xmlid,att.uni.attribute.xmlid,Class,
att.uni.attribute.xmlid,att.uni.attribute.xmlid,Class,
att.uni.attribute.xmllang,att.uni.attribute.xmllang,Class,
att.uni.attribute.xmllang,att.uni.attribute.xmllang,Class,
att.uni.attribute.xmlspace,att.uni.attribute.xmlspace,Class,
