Control_Word,Category,Action,Function
_,Special Characters,Symbol,null
-,Special Characters,Symbol,null
:,Special Characters,Symbol,null
',Special Characters,Symbol,null
{,Special Characters,Symbol,null
},Special Characters,Symbol,null
*,Special Characters,Symbol,null
\,Special Characters,Symbol,null
|,Special Characters,Symbol,null
~,Special Characters,Symbol,null
ab,Associated Character Properties,Toggle,toggle
absh,Positioned Objects and Frames,Value,null
abslock,Positioned Objects and Frames,Flag,null
absnoovrlp,Positioned Objects and Frames,Toggle,toggle
absw,Positioned Objects and Frames,Value,null
acaps,Associated Character Properties,Toggle,toggle
acccircle,Font (Character) Formatting Properties,Toggle,toggle
acccomma,Font (Character) Formatting Properties,Toggle,toggle
accdot,Font (Character) Formatting Properties,Toggle,toggle
accnone,Font (Character) Formatting Properties,Toggle,toggle
accunderdot,Font (Character) Formatting Properties,Toggle,toggle
acf,Associated Character Properties,Value,null
additive,Style Sheet,Flag,null
adjustright,Section Formatting Properties,Flag,null
adn,Associated Character Properties,Value,null
aenddoc,Document Formatting Properties,Flag,null
aendnotes,Document Formatting Properties,Flag,null
aexpnd,Associated Character Properties,Value,null
af,Associated Character Properties,Value,null
afelev,Document Formatting Properties,Flag,null
affixed,Paragraph Formatting Properties,Flag,null
afs,Associated Character Properties,Value,null
aftnbj,Document Formatting Properties,Flag,null
aftncn,Document Formatting Properties,Destination,null
aftnnalc,Document Formatting Properties,Flag,null
aftnnar,Document Formatting Properties,Flag,null
aftnnauc,Document Formatting Properties,Flag,null
aftnnchi,Document Formatting Properties,Flag,null
aftnnchosung,Document Formatting Properties,Flag,null
aftnncnum,Document Formatting Properties,Flag,null
aftnndbar,Document Formatting Properties,Flag,null
aftnndbnum,Document Formatting Properties,Flag,null
aftnndbnumd,Document Formatting Properties,Flag,null
aftnndbnumk,Document Formatting Properties,Flag,null
aftnndbnumt,Document Formatting Properties,Flag,null
aftnnganada,Document Formatting Properties,Flag,null
aftnngbnum,Document Formatting Properties,Flag,null
aftnngbnumd,Document Formatting Properties,Flag,null
aftnngbnumk,Document Formatting Properties,Flag,null
aftnngbnuml,Document Formatting Properties,Flag,null
aftnnrlc,Document Formatting Properties,Flag,null
aftnnruc,Document Formatting Properties,Flag,null
aftnnzodiac,Document Formatting Properties,Flag,null
aftnnzodiacd,Document Formatting Properties,Flag,null
